property,propertyLabel,propertyDescription,domains,ranges
http://www.wikidata.org/entity/P560,direction,"qualifier to indicate the direction of the object relative to the subject item (for direction to the object, see P654)","spatial entity, anatomical structure, side",direction
http://www.wikidata.org/entity/P556,crystal system,type of crystal for minerals and/or for crystal compounds,"group or class of chemical substances, chemical substance",crystal system
http://www.wikidata.org/entity/P589,point group,crystal subdivision,,point group
http://www.wikidata.org/entity/P364,original language of film or TV show,"language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead.","YouTube channel, publication, audiovisual work",languoid
http://www.wikidata.org/entity/P1433,published in,"larger work that a given work was published in, like a book, journal or music album","author, work","citation, website, news agency, work, media company, enterprise, arts festival, group of awards, television channel, nonprofit corporation, group of works, news desk"
http://www.wikidata.org/entity/P1434,takes place in fictional universe,"the subject is a work describing a fictional universe, i.e. whose plot occurs in this universe","level, work","mythology, literary cycle, fictional universe"
http://www.wikidata.org/entity/P275,copyright license,license under which this copyrighted work is released,"item of collection or exhibition, fictional entity, collection, fonds, photo library, work, data, database",license
http://www.wikidata.org/entity/P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,"type of legislation, resolution, decree law, legal instrument, bill, by-law, statute, capitulary","human, legislature, deity, constitutional convention, government agency, cabinet, legislative session, council, legislative house, legislative term, type of legislation"
http://www.wikidata.org/entity/P485,archives at,the institution holding the subject's archives,,"human, organization, institution"
http://www.wikidata.org/entity/P1346,winner,"winner of a competition or similar event, not to be used for awards (instead use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686)) or for wars or battles","fictional competition, recurring sporting event, annual music competition edition, sports competition, television series season, award, competition, web series","human, book, horse, continent, comics, nation, organization, administrative division, fictional character, human settlement, work, chess computer, periodical, event"
